Name,Address,Suburb,Postcode,Location,Area,
Swell Tavern,1640 Gold Coast Hwy,Burleigh Heads,4220,Gold Coast,,
Tallebudgera SLSC,1505 Gold Coast Highway,Palm Beach,4221,Gold Coast,,
The Avenue ,4 Orchid Ave,Surfers Paradise,4217,Gold Coast,,
Waxy's Irish Bar,3206 Surfers Paradise Blvd,Surfers Paradise,4217,Gold Coast,,
Never Land Bar,23 McLean Street,Coolangatta,4225,Gold Coast,,
Pines Golf Course,Gleneagles Drive,Sanctuary Cove,4212,Gold Coast,,
Central Lounge & Bar,Shop 6/27 Orchid Ave,Surfers Paradise,4217,Gold Coast,,
Boardwalk Tavern,Hope Island Marina Shopping Village/Santa Barbara Road,Hop Island,4212,Gold Coast,,
Nerang RSL,69 Nerang St,Nerang,4211,Gold Coast,,
Sin City Nightclub,22 Orchid Ave,Surfers Paradise,4217,Gold Coast,,
Vanity Nightclub,26 Orchid Ave,Surfers Paradise,4217,Gold Coast,,
Currumbin Creek Tavern,3 Traders Way,Currumbin Waters,4223,Gold Coast,,
Treetops Tavern,7 Executive Drive,Burleigh Waters,4220,Gold Coast,,
Saltwater Creek Hotel,22 Siganto Drive,Helensvale,4212,Gold Coast,,
O'Malleys On The Beach ,1/1 Cavill Ave,Surfers Paradise,4217,Gold Coast,,
Komune Resort,144-146 Marine Parade,Coolangatta,4225,Gold Coast,,
Fisherman's Wharf Tavern,60-70 Seaworld Drive,Main Beach,4217,Gold Coast,,
Lakelands Golf Club,100 Lakelands Dr,Merrimac,4226,Gold Coast,,
Shearers Arms Tavern,23 Peachey Rd,Ormeau,4208,Gold Coast,,
Marina Quays Tavern,87-97 Broadwater Ave,Hope Island,4212,Gold Coast,,
Robina Woods Golf Course,Ron Penhaligon Way,Robina,4226,Gold Coast,,
Coolangatta Hotel,70-80 Marine Parade,Coolangatta,4225,Gold Coast,,
Southport RSL,36 Scarborough St,Southport,4215,Gold Coast,,
Miami Tavern,2043-2047 Gold Coast Hwy,Miami,4220,Gold Coast,,
Bojangles Brasserie,6 Goondoon St,Gladstone,4680,QLD,Gladstone & Cantral QLD,
Dicey Reilly's ,71 - 77 Dawson Hwy,Gladstone,4680,QLD,Gladstone & Cantral QLD,
Grand Hotel ,79 Goondoon St,Gladstone,4680,QLD,Gladstone & Cantral QLD,
Rocky Glen Hotel,7 Dawson Highway,West Gladstone,4680,QLD,Gladstone & Cantral QLD,
Grand Hotel Gladstone,79 Goondoon Street,Gladstone,4680,QLD,Gladstone & Cantral QLD,
Barron Valley Hotel,53 Main St,Atherton,4883,QLD,Cairns & Far North,
Cactus Jacks Bar & Grill,66 Shields Street,Cairns,4870,QLD,Cairns & Far North,
Cairns Convention Centre,Cnr Wharf & Sherdian Sts,Cairns,4870,QLD,Cairns & Far North,
Court House Hotel,38 Abbott St,Cairns,4870,QLD,Cairns & Far North,
Crown Hotel,25 Ernest St,Innisfail,4870,QLD,Cairns & Far North,
Gilligans Backpackers,57 - 89 Grafton St,Cairns,4870,QLD,Cairns & Far North,
Hambledon Hotel,127-129 Bruce Hwy,Edmonton,4870,QLD,Cairns & Far North,
Paddy Whacks,41A Shields St,Cairns,4870,QLD,Cairns & Far North,
Pier Tavern,"Pier Marketplace, Pierpoint",Cairns,4870,QLD,Cairns & Far North,
Rattle N Hum,67 The Esplanade,Cairns,4870,QLD,Cairns & Far North,
Reef Hotel Casino,35-41 Whaft St ,Cairns,4870,QLD,Cairns & Far North,
Society Bar,"Level 1, 15 Spence St",Cairns,4870,QLD,Cairns & Far North,
Velvet Rope,35-41 Wharf St,Cairns,4870,QLD,Cairns & Far North,
Woolshed Char Grill,24 Shields St,Cairns,4870,QLD,Cairns & Far North,
PJ O'Briens,87 Lake St,Cairns,4870,QLD,Cairns & Far North,
Sugar Hut Bar & Club,Lvl 1/ 39 Lake St,Cairns City,4870,QLD,Cairns & Far North,
Brothers Leauges Club,99-105 Anderson Street,Manunda,4870,QLD,Cairns & Far North,
The Railway Hotel,36 McLeod St,Cairns,4870,QLD,Cairns & Far North,
Railway Hotel - Cairns,36 McLeod Street,Cairns,4870,QLD,Cairns & Far North,
Vibe Bar - Cairns,39-49 Lake St,Cairns,4870,QLD,Cairns & Far North,
Caboolture Golf Club,Lesley Avenue,Caboolture,4510,QLD,Sunshine Coast,
Great Northern Hotel,35 - 43 Johnson St,Byron Bay,2481,NSW,Lismore & Far North Coast,Lismore & Far North Coast
Sunrise Cellars,Shop 10 Bayshore Drve,Byron Bay,2481,NSW,Lismore & Far North Coast,Lismore & Far North Coast
Cheeky Monkey's Rest.,115 Jonson St,Byron Bay,2481,NSW,Lismore & Far North Coast,Lismore & Far North Coast
Central Hotel ,18 Targo St,Bundaberg,4670,QLD,Gladstone & Cantral QLD,
Metropolitian Hotel,166 Bourbong Street,Bundaberg,4670,QLD,Gladstone & Cantral QLD,
Sugarland Tavern,52 Johnston St,Avoca,4670,QLD,Gladstone & Cantral QLD,
Irish Murphy's,175 George Street,Brisbane CBD,4000,Brisbane ,,
The Elephant Arms,230 Wickham Street,Fortitude Valley,4006,Brisbane ,,
Newmarket Hotel,Cnr Enoggera & Newmarket Rds,Newmarket,4051,Brisbane ,,
Bayview Hotel,75 Redcliffe Parade,Redcliffe,4020,Brisbane ,,
Queensport Hotel,49 Gosport Street  ,Hemmant ,4174,Brisbane ,,
Runcorn Tavern,124 Gowan Road,Runcorn,4113,Brisbane ,,
Windaroo Tavern,159 Beaudesert-Beenleigh Rd,Windaroo,4207,Brisbane ,,
Toowong Bowls Club,59 Gailey Rd,Toowong,4068,Brisbane ,,
Alex Hills Hotel,Cnr Finucane & McDonald Rds,Alexandra Hills,4161,Brisbane,,
Beach House Bar & Grill,Shop 58 Level E 59 Queen St,Brisbane,4000,Brisbane,,
Beat Nightclub,677 Ann St,Brisbane,4000,Brisbane,,
Brackenridge Tavern,Cnr Barett & Denham St,Bracken Ridge,4107,Brisbane,,
Breakfast Creek Hotel,Cnr Amy & Kingford Smith Drve,Albion,4010,Brisbane,,
Bronco's League Club,98 Fulcher Road,Red Hill,4059,Brisbane,,
Calamvale Hotel,Cnr Compton & Beaudesert Rds,Calamvale,4116,Brisbane,,
Calypso Bar,22 Caxton St,Paddington,4064,Brisbane,,
Doomben Racecourse,Nudgee Road,Ascot,4007,Brisbane,,
Down Under Bar & Grill,308 Edward St,Brisbane,4000,Brisbane,,
DragonFly,235 Edward St,Brisbane,4000,Brisbane,,
Eatons Hill Hotel,646 South Pine Rd,Eatons Hill,4037,Brisbane,,
Elephant  Arms,230 Wickham Street,Fortitude Valley,4006,Brisbane,,
Embassy Hotel,188 Edward Street,Brisbane,4000,Brisbane,,
Fox Hotel,Cnr Melbourne & Hope Sts,South Brisbane,4101,Brisbane,,
Fringe Bar,Cnr Ann & Constance Sts,Fortitude Valley,4169,Brisbane,,
Ice Works,Cnr Dowse & Given Tce,Paddington,4064,Brisbane,,
Kallangur Tavern,1517 Anzac Avenue,Kallangur,4503,Brisbane,,
Kedron Wavell RSL,375 Hamilton Rd,Chermside,4032,Brisbane,,
Mustang Bar,633 Ann St,Fortitude Valley,4006,Brisbane,,
O'Malleys,Shop B01 Queen St Mall,Brisbane,4000,Brisbane,,
Paddington Tavern,186 Given Tce,Paddington,4064,Brisbane,,
Pineapple Hotel,Main Street,Kangaroo Point,4169,Brisbane,,
Plough Inn Hotel,234 Grey St,South Brisbane,4101,Brisbane,,
Port Office Hotel,40 Edward St,Brisbane,4000,Brisbane,,
RNA Showgrounds,600 Gregory Tce,Fortitude Valley,4006,Brisbane,,
Royal George Hotel,Cnr Ann & Brunswick St,Fortitude Valley,4169,Brisbane,,
Stock Exchange Hotel,131 Edward St,Brisbane,4000,Brisbane,,
Story Bridge Hotel,200 Main St,Kangaroo Point,4169,Brisbane,,
Suncorp Stadium,40 Castlemaine Street,Milton,4064,Brisbane,,
Tempo Hotel ,394 Brunswick St,Fortitude Valley,4006,Brisbane,,
The Boundary Hotel,137 Boundary St,West End,4101,Brisbane,,
The Gabba,411 Vulture St,Woolloongabba,4102,Brisbane,,
The German Club,416 Vulture St,Woolloongabba,4102,Brisbane,,
The Met,256 Wickham Tce,Fortitude Valley,4006,Brisbane,,
The Normanby Hotel,1 Musgrave Road,Red Hill,4059,Brisbane,,
The Regatta Hotel,543 Coronation Dr,Toowong,4066,Brisbane,,
The Victory Hotel,127 Edward St,Brisbane,4000,Brisbane,,
The Vine BottleO,Shop 1 41-43 Wynyard St,Cleveland,4163,Brisbane,,
Tinbilly Travellers,466 George St,Brisbane,4000,Brisbane,,
Treasury Casino,Queen St,Brisbane,4000,Brisbane,,
Uber,100 Boundary Street,West End,4101,Brisbane,,
Park Ridge Tavern,3698 Mount Lindesay Highway,Park Ridge,4125,Brisbane,,
Runcorn Tavern,124 Gowan Road,Runcorn,4113,Brisbane,,
Greenbank RSL,54 Anzac Avenue,Hillcrest,4118,Brisbane,,
Cloudland Bar,641 Ann St,Fortitude Valley,4006,Brisbane,,
Brisbane Convention & Exhibition Centre,Cnr Glenelg & Merivale Sts,South Brisbane ,4101,Brisbane,,
Meadowbrook Hotel,1-7 Logandowns Drive,Meadowbrook,4131,Brisbane,,
Pig and Whistle - Riverside,20/123 Eagle Street,Brisbane CBD,4000,Brisbane,,
Plainlands Hotel,Warrego Highway,Plainland,,Brisbane,,
Elysium Lakeside,Lakeside Drive,?Victoria Point,4165,Brisbane,,
Slingbar,153 Boundary St,Westend,4101,Brisbane,,
Chalk Hotel,732 Stanley St,Woolloongabba,4102,Brisbane,,
Australian National Hotel,867 Stanlet St,Woolloongabba,4102,Brisbane,,
Melbourne Hotel,2/10 Browning St,Westend,4101,Brisbane,,
Glen Hotel,Gaskell St,Eight Mile Plains,4113,Brisbane,,
Wellington Point Hotel,381 Main Rd,Wellington Point,4160,Brisbane,,
Manly Hotel,54 Cambridge Parade,Brisbane,4179,Brisbane,,
Brisbane German Club,416 Vulture St,East Brisbane,4169,Brisbane,,
Lions at Springwood,2 Pannikin Street,Springwood,4123,Brisbane,,
Redcliffe Leagues Club,Cnr Klingner & Ashmole Roads,Redcliffe,4020,Brisbane,,
Bayview Hotel,75 Redcliffe Parade,Redcliffe,4020,Brisbane,,
Brisbane Golf Club,Tennyson Memorial Avenue,Yeerongpilly,4105,Brisbane,,
The Caxton Hotel ,38 Caxton Street,Brisbane,4000,Brisbane,,
GPO Hotel,"740 Ann St, Fortitude Valley",Brisbane CBD,4006,Brisbane,,
Bracken Ridge Tavern,Cnr Barrett & Denham Street,Bracken Ridge,4017,Brisbane,,
X & Y Bar,648 Ann St,Fortitude Valley,4006,Brisbane,,
Electric Playground,27 Warner St,Fortitude Valley,4006,Brisbane,,
Mon Komo Hotel,99 Marine Parade,Redcliffe,4020,Brisbane,,
Bribie Island Bowls Club,Welsby Parade, Bongaree,4507,QLD,Sunshine Coast,
Beerwah Hotel,53 Beerwah Parade,Beerwah,4519,QLD,Sunshine Coast,
Beaches Backpackers,356 Shute Harbour Road,Airlie Beach,4802,QLD,Mackay & Coalfields,
Mama Africa,Shute Harbour Drive,Airlie Beach,4802,QLD,Mackay & Coalfields,
Shenanigans,352 Shute Harbour Rd,Airlie Beach,4802,QLD,Mackay & Coalfields,
